rank,skill_id,skill_name,category,level,predicted_mastery,foundational_weight,priority_score,reason
1,SK021,Evaluate Evidence Relevance,Evidence,Basic,68.8,1.0,31.2,"Predicted 69% on untested basic evidence skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
2,SK037,Modifier Placement,Grammar,Intermediate,60.1,0.75,29.9,"Predicted 60% on untested intermediate grammar skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
3,SK066,Identify Rhetorical Situation,Rhetoric,Basic,70.9,1.0,29.1,"Predicted 71% on untested basic rhetoric skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
4,SK067,Analyze Author's Purpose,Rhetoric,Basic,71.2,1.0,28.8,"Predicted 71% on untested basic rhetoric skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
5,SK059,Organization of Ideas,Writing,Intermediate,64.4,0.75,26.7,"Predicted 64% on untested intermediate writing skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
6,SK033,Verb Tense Consistency,Grammar,Basic,73.4,1.0,26.6,"Predicted 73% on untested basic grammar skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
7,SK009,Resolve Conflicting Information,Reading,Intermediate,69.0,0.75,23.3,"Predicted 69% on untested intermediate reading skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
8,SK038,Parallel Structure,Grammar,Intermediate,69.2,0.75,23.1,"Predicted 69% on untested intermediate grammar skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
9,SK025,Evaluate Data Support for Claims,Evidence,Intermediate,71.2,0.75,21.6,"Predicted 71% on untested intermediate evidence skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
10,SK050,Precision in Word Selection,Vocabulary,Intermediate,71.3,0.75,21.5,"Predicted 71% on untested intermediate vocabulary skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
11,SK005,Understand Author's Tone,Reading,Intermediate,71.5,0.75,21.4,"Predicted 71% on untested intermediate reading skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
12,SK001,Identify Central Claim / Thesis,Reading,Basic,79.8,1.0,20.2,"Predicted 80% on untested basic reading skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
13,SK049,Analyze Word Choice Effects,Vocabulary,Intermediate,73.2,0.75,20.1,"Predicted 73% on untested intermediate vocabulary skill; Observed weakness in Summarize Passage Main Points (1/3 correct). similar peers with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
