rank,skill_id,skill_name,category,level,predicted_mastery,foundational_weight,priority_score,reason
1,SK056,Sentence Combination,Writing,Basic,49.4,1.0,50.6,"Predicted 49% on untested basic writing skill; Blended k-NN (42%) and related-skill propagation (66%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
2,SK067,Analyze Author's Purpose,Rhetoric,Basic,52.9,1.0,47.1,"Predicted 53% on untested basic rhetoric skill; Blended k-NN (47%) and related-skill propagation (67%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
3,SK001,Identify Central Claim / Thesis,Reading,Basic,61.9,1.0,38.1,"Predicted 62% on untested basic reading skill; Blended k-NN (58%) and related-skill propagation (70%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
4,SK034,Sentence Boundaries (Fragments/Run-ons),Grammar,Basic,68.8,1.0,31.2,"Predicted 69% on untested basic grammar skill; Blended k-NN (73%) and related-skill propagation (59%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
5,SK002,Locate Explicit Details,Reading,Basic,68.9,1.0,31.1,"Predicted 69% on untested basic reading skill; Blended k-NN (68%) and related-skill propagation (70%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
6,SK023,Compare Quantitative and Textual Data,Evidence,Intermediate,62.5,0.75,28.1,"Predicted 63% on untested intermediate evidence skill; Blended k-NN (60%) and related-skill propagation (69%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
7,SK004,Summarize Passage Main Points,Reading,Basic,72.9,1.0,27.1,"Predicted 73% on untested basic reading skill; Blended k-NN (74%) and related-skill propagation (70%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
8,SK061,Effective Conclusions,Writing,Intermediate,64.6,0.75,26.5,"Predicted 65% on untested intermediate writing skill; Blended k-NN (66%) and related-skill propagation (61%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
9,SK048,Distinguish Denotation and Connotation,Vocabulary,Basic,73.6,1.0,26.4,"Predicted 74% on untested basic vocabulary skill; Blended k-NN (73%) and related-skill propagation (74%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
10,SK026,Identify Evidence Gaps,Evidence,Intermediate,65.7,0.75,25.8,"Predicted 66% on untested intermediate evidence skill; Blended k-NN (65%) and related-skill propagation (67%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
11,SK019,Identify Textual Evidence,Evidence,Basic,77.1,1.0,22.9,"Predicted 77% on untested basic evidence skill; Blended k-NN (79%) and related-skill propagation (72%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
12,SK025,Evaluate Data Support for Claims,Evidence,Intermediate,69.7,0.75,22.7,"Predicted 70% on untested intermediate evidence skill; Blended k-NN (71%) and related-skill propagation (67%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
13,SK003,Determine Paragraph Purpose,Reading,Basic,79.1,1.0,20.9,"Predicted 79% on untested basic reading skill; Blended k-NN (83%) and related-skill propagation (70%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
14,SK069,Analyze Structure and Function,Rhetoric,Intermediate,72.7,0.75,20.5,"Predicted 73% on untested intermediate rhetoric skill; Blended k-NN (77%) and related-skill propagation (64%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
15,SK036,Apostrophe and Possessives,Grammar,Intermediate,73.0,0.75,20.2,"Predicted 73% on untested intermediate grammar skill; Blended k-NN (78%) and related-skill propagation (61%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
16,SK039,Punctuation with Introductory Elements,Grammar,Intermediate,75.9,0.75,18.1,"Predicted 76% on untested intermediate grammar skill; Blended k-NN (82%) and related-skill propagation (63%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
17,SK066,Identify Rhetorical Situation,Rhetoric,Basic,82.7,1.0,17.3,"Predicted 83% on untested basic rhetoric skill; Blended k-NN (89%) and related-skill propagation (67%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
18,SK049,Analyze Word Choice Effects,Vocabulary,Intermediate,77.1,0.75,17.2,"Predicted 77% on untested intermediate vocabulary skill; Blended k-NN (81%) and related-skill propagation (68%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
19,SK047,Determine Word Meaning from Context,Vocabulary,Basic,83.0,1.0,17.0,"Predicted 83% on untested basic vocabulary skill; Blended k-NN (87%) and related-skill propagation (74%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
20,SK068,Evaluate Persuasive Techniques,Rhetoric,Intermediate,77.3,0.75,17.0,"Predicted 77% on untested intermediate rhetoric skill; Blended k-NN (83%) and related-skill propagation (64%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
21,SK060,Effective Introductions,Writing,Intermediate,77.4,0.75,16.9,"Predicted 77% on untested intermediate writing skill; Blended k-NN (84%) and related-skill propagation (62%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
22,SK006,Track Argument Development,Reading,Intermediate,78.4,0.75,16.2,"Predicted 78% on untested intermediate reading skill; Blended k-NN (84%) and related-skill propagation (66%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
23,SK009,Resolve Conflicting Information,Reading,Intermediate,78.9,0.75,15.8,"Predicted 79% on untested intermediate reading skill; Blended k-NN (84%) and related-skill propagation (68%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
24,SK027,Strengthen Arguments with Evidence,Evidence,Advanced,68.7,0.45,14.1,"Predicted 69% on untested advanced evidence skill; Blended k-NN (66%) and related-skill propagation (74%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
25,SK043,Comparative and Superlative Forms,Grammar,Advanced,68.7,0.45,14.1,"Predicted 69% on untested advanced grammar skill; Blended k-NN (71%) and related-skill propagation (64%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
26,SK059,Organization of Ideas,Writing,Intermediate,84.7,0.75,11.5,"Predicted 85% on untested intermediate writing skill; Blended k-NN (93%) and related-skill propagation (64%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
27,SK013,Evaluate Argument Strength,Reading,Advanced,78.1,0.45,9.8,"Predicted 78% on untested advanced reading skill; Blended k-NN (83%) and related-skill propagation (68%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
28,SK064,Style and Formality,Writing,Advanced,84.8,0.45,6.9,"Predicted 85% on untested advanced writing skill; Blended k-NN (92%) and related-skill propagation (68%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
29,SK018,Integrate Complex Passage Themes,Reading,Advanced,86.7,0.45,6.0,"Predicted 87% on untested advanced reading skill; Blended k-NN (94%) and related-skill propagation (70%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
30,SK029,Synthesize Cross-Source Evidence,Evidence,Advanced,88.9,0.45,5.0,"Predicted 89% on untested advanced evidence skill; Blended k-NN (96%) and related-skill propagation (74%). Observed weakness in Synthesize Multi-Paragraph Ideas (1/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
